Kanji,Kana,Romaji,Type,Meaning,Tone,Example Sentence,Example Translation
～地,～ち,chi,接尾词,...地;场所,0,目的地に到着する。,到达目的地。
～着,～ちゃく,chaku,接尾词,...着;到达;件(量词),0,三着のスーツを買う。,买了三套西装。
～中,～ちゅう,chuu,接尾词,正在...中,0,会議中につきお静かに。,会议中请保持安静。
～長,～ちょう,choo,接尾词,...长;首领,0,社長に挨拶する。,向社长问好。
～的,～てき,teki,接尾词,...的(性质),0,具体的な計画を立てる。,制定具体的计划。
～点,～てん,ten,接尾词,...点;分数,0,満点を取る。,拿到满分。
～度,～ど,do,接尾词,...次;度;程度,0,百度の熱湯。,一百度的沸水。
～等,～とう,too,接尾词,...等;级别,0,一等賞に選ばれる。,被选为一等奖。
～内,～ない,nai,接尾词,...内;内部,0,時間内に終わらせる。,在时间内完成。
～難,～なん,nan,接尾词,困难;灾难,0,就職難の時代。,就业难的时代。
～肉,～にく,niku,接尾词,...肉,0,牛肉を三キロ買う。,买三公斤牛肉。
～日,～にち,nichi,接尾词,...日,0,五日間の旅行。,为期五天的旅行。
～熱,～ねつ,netsu,接尾词,...热;热度,0,研究熱心な学生。,热衷于研究的学生。
～年,～ねん,nen,接尾词,...年,0,三年前の出来事。,三年前发生的事。
～能,～のう,noo,接尾词,...能力;...功能,0,潜在能力を引き出す。,发挥潜能。
～派,～ぱ,pa,接尾词,...派;派别,0,保守派と革新派。,保守派与革新派。
～版,～ばん,ban,接尾词,...版(版本),0,限定版のCDを買う。,买限定版的CD。
～比,～ひ,hi,接尾词,...比;比例,0,前年比で増加する。,比去年有所增加。
～便,～びん,bin,接尾词,...便(航班/邮件),0,次便で荷物を送る。,用下一班次发货。
～风,～ふう,fuu,接尾词,...风;风格;样子,0,サラリーマン风の男。,职员模样的男子。
～法,～ほう,hoo,接尾词,...法;方法,0,健康法を試す。,尝试健身法。
～量,～りょう,ryoo,接尾词,...量;分量,0,生産量を増やす。,增加生产量。
～力,～りょく,ryoku,接尾词,...力;力量,0,学力を高める。,提高学习能力。
～连,～れん,ren,接尾词,...连;连续,0,三连休を楽しむ。,享受三连休。
亜～,あ～,a,接头词,亚...;次于,0,亜熱帯地方の気候。,亚热带地区的气候。
悪～,あく～,aku,接头词,恶...;坏的,0,悪天候のため中止する。,因恶劣天气而中止。
各～,かく～,kaku,接头词,各...;各个,0,各家庭に配布する。,分发给各个家庭。
旧～,きゅう～,kyuu,接头词,旧...;以前的,0,旧市街を散策する。,在旧市区散步。
急～,きゅう～,kyuu,接头词,急...;突然,0,急ブレーキをかける。,急踩刹车。
好～,こう～,koo,接头词,好...;积极的,0,好印象を与える。,给予好印象。
高～,こう～,koo,接头词,高...;程度高,0,高カロリーな食事。,高热量的饮食。
最～,さい～,sai,接头词,最...;至...,0,最新のニュース。,最新的新闻。
再～,さい～,sai,接头词,再...;重...,0,再開発が進む街。,正在进行重新开发的街道。
新～,しん～,shin,接头词,新...;新的,0,新製品を発表する。,发布新产品。
全～,ぜん～,zen,接头词,全...;整个,0,全国大会に出場する。,参加全国大赛。
総～,そう～,soo,接头词,总...;全体,0,総人口を調査する。,调查总人口。
超～,ちょう～,choo,接头词,超...;非常,0,超音波の技術。,超声波技术。
長～,ちょう～,choo,接头词,长...;长时间,0,長距離バスに乗る。,坐长途巴士。
低～,てい～,tei,接头词,低...;程度低,0,低価格で提供する。,以低价提供。
不～,ふ～,fu,接头词,不...;非...,0,不自然な動き。,不自然的动作。
負～,ふ～,fu,接头词,负...;负数,0,マイナス（负）のイメージ。,负面印象。
無～,む～,mu,接头词,无...;没有,0,無意識に言ってしまう。,无意识地说了出来。
名～,めい～,mei,接头词,名...;著名的,0,名曲を聴く。,听名曲。
迷～,めい～,mei,接头词,迷...;困惑,0,迷い子を探す。,寻找迷路的孩子。
豆,まめ,mame,名词,豆子,0,コーヒー豆を挽く。,磨咖啡豆。
丸い,まるい,marui,I形容词,圆的,0,丸いテーブルを囲む。,围在圆桌旁。
稀,まれ,mare,Na形容词,稀少;罕见,0,稀に見る才能。,罕见的才能。
回,まわり,mawari,名词,周围;附近;循环,0,池の回りを走る。,在池塘周围跑。
万一,まんいち,manichi,副词/名词,万一,1,万一の時に備える。,以防万一。
満点,まんてん,manten,名词,满分,3,テストで満点を取る。,考试拿了满分。
味方,みかた,mikata,名词/自动词,我方;盟友;支持,0,正義の味方。,正义的伙伴。
見事,みごと,migoto,Na形容词,精彩;出色,1,見事な演技だった。,非常精彩的演技。
満ちる,みちる,michiru,动词(自),充满;期满,2,自信に満ちた表情。,充满自信的表情。
密,みつ,mitsu,Na形容词,密集;紧密,0,密なスケジュール。,密集的日程。
密度,みつど,mitsudo,名词,密度,1,人口密度が高い。,人口密度高。
見通し,みとおし,mitooshi,名词,展望;预料;看穿,0,将来の見通しを立てる。,对未来进行展望。
見舞い,みまい,mimai,名词,探望;慰问,0,お見舞いに行く。,去探病。
未満,みまん,miman,接尾词,未满;不足,2,十八歳未満禁止。,未满十八岁禁止。
名字,みょうじ,myooji,名词,姓氏,1,珍しい名字ですね。,真是个罕见的姓氏。
魅力,みりょく,miryoku,名词,魅力,0,彼女は魅力的な人だ。,她是个有魅力的人。
無理,むり,muri,名词/Na形容词,勉强;不可能,1,無理な計画を立てない。,不要制定勉强的计划。
無料,むりょう,muryoo,名词,免费,0,入館料は無料です。,进馆免费。
迷信,めいしん,meishin,名词,迷信,0,迷信を信じる。,相信迷信。
明確,めいかく,meikaku,Na形容词,明确,0,目的を明確にする。,明确目的。
命令,めいれい,meirei,名词/他动词,命令,0,上司の命令に従う。,服从上司的命令。
迷惑,めいわく,meiwaku,名词/Na形容词/自动词,麻烦;困惑,1,人に迷惑をかける。,给别人添麻烦。
目上,めうえ,meue,名词,长辈;上级,0,目上の人には敬語を使う。,对长辈要使用敬语。
目下,めした,meshita,名词,晚辈;部下,0,目下の人を可愛がる。,疼爱晚辈。
目印,めじるし,mejirushi,名词,记号;标记,0,赤い屋根を目印に来てください。,请以红屋顶为标记过来。
目安,めやす,meyasu,名词,目标;大致标准;基准,0,一ヶ月の生活費の目安。,一个月生活费的大致标准。
免許,めんきょ,menkyo,名词,许可证;执照,1,運転免許を取る。,考取驾照。
面積,めんせき,menseki,名词,面积,1,この部屋の面積を測る。,测量这个房间的面积。
面倒,めんどう,mendoo,名词/Na形容词,麻烦;照顾,3,面倒な手続き。,麻烦的手续。
目的,もくてき,mokuteki,名词,目的,0,日本に来た目的は勉強だ。,来日本的目的是学习。
目標,もくひょう,mokuhyoo,名词,目标,0,目標を達成する。,达成目标。
文字,もじ,moji,名词,文字;字体,1,大きな文字で書く。,用大号字写。
持ち主,もちぬし,mochinushi,名词,所有者;主人,2,このバッグの持ち主は誰ですか。,这个包的主人是谁？
元,もと,moto,名词,根本;原本;原因,1,元の場所に戻す。,放回原处。
物事,ものごと,monogoto,名词,事物;事情,2,物事を前向きに考える。,积极地考虑事情。
文句,もんく,monku,名词,怨言;词句,0,文句を言うのをやめる。,停止抱怨。
役,やく,yaku,名词,职务;角色,2,主役を演じる。,演主角。
役割,やくわり,yakuwari,名词,职责;分担的任务,3,自分の役割を果たす。,履行自己的职责。
家賃,やちん,yachin,名词,房租,1,家賃を払う。,付房租。
厄介,やっかい,yakkai,名词/Na形容词,麻烦;负担;照料,2,厄介な問題が起きる。,发生了麻烦的问题。
宿,やど,yado,名词,旅店;住处,1,早めに宿を予約する。,提早预订旅店。
勇気,ゆうき,yuuki,名词,勇气,1,勇気を出して告白する。,拿出勇气表白。
有効,ゆうこう,yuukoo,名词/Na形容词,有效,0,このチケットは今日だけ有効だ。,这张票仅限今天有效。
優秀,ゆうしゅう,yuushuu,Na形容词,优秀,0,彼は非常に優秀な学生だ。,他是个非常优秀的学生。
優勝,ゆうしょう,yuushoo,名词/自动词,冠军;优胜,0,大会で優勝する。,在比赛中获得冠军。
友情,ゆうじょう,yuujoo,名词,友情,0,二人の間に友情が芽生える。,两人之间萌生了友情。
友人,ゆうじん,yuujin,名词,友人;朋友,0,旧友を訪ねる。,拜访老友。
郵送,ゆうそう,yuusoo,名词/他动词,邮寄,0,書類を郵送で送る。,通过邮寄发送文件。
郵便,ゆうびん,yuubin,名词,邮政;邮件,0,郵便が届く。,邮件到了。
夕方,ゆうがた,yuugata,名词,傍晚,0,夕方から雨が降るそうだ。,据说从傍晚开始下雨。
夕刊,ゆうかん,yuukan,名词,晚报,0,夕刊を読む。,看晚报。
有利,ゆうり,yuuri,Na形容词,有利,1,自分に有利な条件。,对自己有利的条件。
床,ゆか,yuka,名词,地板,0,床を掃除する。,擦地板。
輸出,ゆしゅつ,yushutsu,名词/他动词,出口,0,車を外国に輸出する。,把汽车出口到国外。
輸入,ゆにゅう,yunyuu,名词/他动词,进口,0,原油を輸入する。,进口原油。
輸送,ゆそう,yusoo,名词/他动词,运输,0,船で荷物を輸送する。,用船运输货物。
油断,ゆだん,yudan,名词/自动词,疏忽;大意,0,油断は禁物だ。,切不可大意。
指輪,ゆびわ,yubiwa,名词,戒指,0,婚約指輪を贈る。,送订婚戒指。
夢,ゆめ,yume,名词,梦;梦想,2,将来の夢を語る。,谈论未来的梦想。
用意,ようい,yooi,名词/他动词,准备,1,食事の用意ができる。,饭菜准备好了。
要件,ようけん,yooken,名词,要件;主要事项,3,要件を簡潔に伝える。,简洁地传达要领。
様子,ようす,yoosu,名词,情况;样子;神态,0,病人の様子を見る。,查看病人的情况。
要素,ようそ,yooso,名词,要素,1,成功の重要な要素。,成功的关键要素。
要点,ようてん,yooten,名词,要点,0,話の要点をまとめる。,总结说话的要点。
予習,よしゅう,yoshuu,名词/他动词,预习,0,明日の授業を予習する。,预习明天的课。
予測,よそく,yosoku,名词/他动词,预测,0,結果を予測するのは難しい。,很难预测结果。
予算,よさん,yosan,名词,预算,0,予算を立てる。,制定预算。
予報,よほう,yohoo,名词/他动词,预报,0,天気予報をチェックする。,查看天气预报。
予防,よぼう,yoboo,名词/他动词,预防,0,風邪の予防に手洗いをする。,洗手以预防感冒。
読み,よみ,yomi,名词,读法;推测,0,漢字の読みを調べる。,查汉字的读音。
余裕,よゆう,yoyuu,名词,余裕;充裕,0,時間に余裕を持って行く。,留出富余时间去。
喜び,よろこび,yorokobi,名词,喜悦;喜事,0,合格の喜びを分かち合う。,分享及格的喜悦。
来日,らいにち,rainichi,名词/自动词,来日,0,多くの観光客が来日する。,许多游客来到日本。
理解,りかい,rikai,名词/他动词,理解,1,相手の気持ちを理解する。,理解对方的心情。
理想,りそう,risoo,名词,理想,0,理想を高く持つ。,怀抱高远的理想。
流行,りゅうこう,ryuukoo,名词/自动词,流行,0,最新のファッションが流行する。,流行最新的时尚。
量,りょう,ryoo,名词,量;分量,1,料理の量が多い。,菜量很多。
両替,りょうがえ,ryoogae,名词/他动词,兑换;换零钱,0,円をドルに両替する。,把日元兑换成美元。
料金,りょうきん,ryookin,名词,费用,1,利用料金を支払う。,支付使用费。
例外,れいがい,reegai,名词,例外,0,例外は認められない。,不予承认例外。
